Bank,City,Branch,Location,Review,Rating,Date
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Banque,"G9PX+F6M, Casablanca",Mauvaise agence,1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Bank Place la Victoire,"H9QR+JQ2, Rue Abdelkarim Al Khattabi, Casablanca 20250",Pas de texte,5 étoiles,il y a 2 jours
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Bank Place la Victoire,"H9QR+JQ2, Rue Abdelkarim Al Khattabi, Casablanca 20250",Pas de texte,5 étoiles,il y a un an
ATTIJARIWAFA BANK,Casablanca,Attijariwafa bank,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca","malheuresement j'ai jamais vu pareille, une agence dans laquelle tu te sens dans une ancienne administration publique, aucune relation avec les autres agences d'attijariwafa bank.
Pas de respect de la queu, pas d'acceuil, pas de service, ...
vaux mieux la fermer.
une étoile juste pour activer la publication maix elle ne mérite même pas le zéro",1 étoile,il y a 2 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa bank,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca",mauvaise service client,1 étoile,il y a 5 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa bank,"H9F4+XXC, Bd Yacoub El Mansour, Casablanca",Service lamentable  digne d'une moqataa et personnel (directrice d'agence et chargé de clientèle) irrespectueux qui se permet de crier sur des clients! Une honte vu les frais bancaires que prélève cette agence chaque mois,1 étoile,il y a 6 ans
ATTIJARIWAFA BANK,Casablanca,Agence Attijariwafabank,"H9VM+9V6, Casablanca 20250","En général le service chez Attijariwafa Bank est correct le personnel est accueillant et souriant et ce, au niveau de toutes les agences à mon avis!",5 étoiles,il y a 6 ans
ATTIJARIWAFA BANK,Casablanca,Agence Attijariwafabank,"H9VM+9V6, Casablanca 20250","Service vraiment nul. Personne ne répond au téléphones , aucune considération pour les clients.
1 étoile , juste parce que zéro étoile n'existe pas !",1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,Casablanca,Agence Attijariwafabank,"H9VM+9V6, Casablanca 20250",Agence bien entretenu 👍 …,5 étoiles,il y a 6 ans
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank التجاري وفا بنك,"HC64+JC6, Casablanca",Espace libre service Attijariwafa bank avec guichet automatique pour retrait et dépôt d’argent ouvert 7 jours sur 7,5 étoiles,il y a 3 semaines
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank التجاري وفا بنك,"HC64+JC6, Casablanca",Ouvert journée de dimanche,5 étoiles,il y a un mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank التجاري وفا بنك,"HC64+JC6, Casablanca",Pas de texte,4 étoiles,il y a 4 ans
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250","Je suis extrêmement déçu par l'agence Attijari sidi moumen extension où mon compte a été transféré  pro et perso suite à la fermeture de mon agence d'origine, sans mon accord. Le service est déplorable. J'ai été victime d'un caissier qui a dérobé 5000 dirhams de mon compte, tout comme d'autres clients, en puis il l'ont licencié,sans dédommagement.De plus, le directeur se montre très désagréable et le chargé de compte entreprise ne parvient pas à me fournir un tableau d'amortissement pour mon crédit immobilier. Cette agence nuit gravement à l'image d'Attijari. Je regrette sincèrement que mon compte ait été transféré ici.",1 étoile,il y a 4 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250",Le service s’est fortement dégradé jusqu’à devenir nul. Chef d’agence insolent. Aucun respect au temps du client. Je me suis déplacée deux fois pour le même service qui n’a toujours pas été rendu. Je change de banque.,1 étoile,il y a 6 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"HFGJ+HPV, Rte Al Anassi, Casablanca 20250","Personnel serviable et professionnel, agence propre et agréable. Le seul souci est l'attente au guichet, un seul agent est insuffisant. Pour effectuer un versement espèces j'ai attendu  une vingtaine de minutes.",4 étoiles,il y a 7 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa bank Bd Moulay Idriss I,"153 Bd Moulay Idriss I, Casablanca 20250","Information erronée, agence fermée",1 étoile,il y a 3 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa bank Bd Moulay Idriss I,"153 Bd Moulay Idriss I, Casablanca 20250",Injoignable par tel sinon ok,4 étoiles,il y a 11 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"H99P+M3W, Casablanca 20250","Très mauvais accueil, très mauvaise expérience. Attitude hautaine et aucune écoute client.",1 étoile,il y a un mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"H99P+M3W, Casablanca 20250",pas mal,4 étoiles,il y a 2 mois
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank,"H99P+M3W, Casablanca 20250","Très bonne agence, service PRO et RAPIDE",5 étoiles,il y a 6 ans
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank Liberté,"10 Bd de la Liberté, Casablanca 20250","Mais c'est incroyable ! Personne ne daigne répondre au téléphone dans cette agence !!  Et quand tu appelles le service client, ils te disent on ne peut rien faire, il faut se rendre à l'agence. C'est FOU !",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank Liberté,"10 Bd de la Liberté, Casablanca 20250",C'est incroyable. Personne ne répond au téléphone et si par hasard vous tombez sur quelqu'un il te promet de faire le nécessaire mais rien ne fait. Aujourd'hui j'ai insister en passant plus 25 appel sans réponse.,1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Casablanca,Attijariwafa Bank Liberté,"10 Bd de la Liberté, Casablanca 20250","L'agence est bien située, mais les clients du réseau d'échange ne reçoivent aucun service et n'ont aucun sens de responsabilité envers le client.",1 étoile,il y a un mois
ATTIJARIWAFA BANK,Casablanca,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250","C est une agence nulle !!! On nous répond jamais au tel il faut tjrs se déplacer!!! Le personnel na aucun respect pr le client , une longue fil dattente et il boit son café trankil. Sil yavait moins de 1 étoile je laurai marqué!!",1 étoile,il y a un an
ATTIJARIWAFA BANK,Casablanca,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250","Bonjour
Le service client est très nulle  aucune  communication  et aucune personne répond au téléphone",1 étoile,il y a un an
ATTIJARIWAFA BANK,Casablanca,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250","Le directeur de cet agence n'est pas à la hauteur , mieux éviter d'ouvrir un compte ici",1 étoile,il y a 5 ans
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250",Vraiment des gens qui traville dans cette agence (mme imane ......) Sont professionnel par contre au gens au siège social AWB moulay youssef qui sont pire et non professionnel.,3 étoiles,il y a 2 ans
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250",Les caissiers à mal honnête.,2 étoiles,il y a 3 ans
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Bank Maarif,"8 Bd Yacoub El Mansour, Casablanca 20250","Mon expérience avec vous dure plus de vingt-cinq ans, mais maintenant je ne sais pas comment vous contacter. C'était le numéro de l'agence, mais elle n'a pas été occupée depuis un an, alors donnez-moi des informations. Merci.",5 étoiles,il y a 2 mois
ATTIJARIWAFA BANK,Casablanca,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250","Commercial Wafa Bank, agence du quartier Al-Hana, rue Sidi Abdel Rahman, en face de la station de tramway Sidi Abdel Rahman, à proximité de la Pharmacie Yasmine, de la Banque Populaire, et de la station service Shell, et également à proximité du siège de l'Académie Régionale d'Education et de Formation de la région Casablanca-Settat, et du Lycée de Rééducation Ibn Yasmine, sur le territoire du quartier Hassani, dans la grande ville de Casablanca.",3 étoiles,il y a 2 ans
ATTIJARIWAFA BANK,Casablanca,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250",Pas de texte,1 étoile,il y a 4 mois
ATTIJARIWAFA BANK,Casablanca,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250",Pas de texte,5 étoiles,il y a 7 mois
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"153 Bd Moulay Idriss I, Casablanca 20250",À FUIR!!! PERSONNEL INCOMPÉTENT ET IMPOLI!!! J'ai ouvert un compte bancaire chez BMCE BANK - Agence de Habous et c'était ma plus grande déception suite au manque de professionnalisme de tous les employés  y compris le directeur de l'agence qui a finit par m'insulter alors que je demandais simplement d'effectuer un virement de mon compte chez eux à mon compte en France ; une transaction qui a fallu 4 semaines pour qu'elle se réalise alors que le virement pourrait être fait dans la foulée et le recevoir dans 3 à 5 jours ouvrables ... JE DÉCONSEILLE FORTEMENT CETTE AGENCE..!!!,1 étoile,il y a 4 ans
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"153 Bd Moulay Idriss I, Casablanca 20250","Je déconseille d'ouvrir un compte chez bmce.
Les conseillers de l'agence de Habous ne sont pas au service du client. Ils répondent jamais aux mails, si on demande un virement par téléphone on l'exécute …",1 étoile,il y a 4 ans
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"153 Bd Moulay Idriss I, Casablanca 20250","A fuire , personnel excerable et incompétent limite entre paresse et mauvaise fois. Le matin personne au service des clients. On entend les employés dans les bureaux en train de rire et prendre le petit déjeuner laissant l'agence à l abandon... Pietre service pietre agence... A fuire",1 étoile,il y a 3 ans
BANK OF AFRICA,Casablanca,Bank of Africa Siège Social,"140 Bd Hassan II, Casablanca 20320","Service déplorable. Un temps d'attente infini. Soit disant ouvert en journée continue, mais vous pouvez venir entre midi et deux et ne trouver personne au guichet...expérience catastrophique. J'ai perdu 2h et énormément d'énergie",1 étoile,il y a une semaine
BANK OF AFRICA,Casablanca,Bank of Africa Siège Social,"140 Bd Hassan II, Casablanca 20320","Bonjour,
Je laisse ce message ici, vue qu’il son incapable de répondre à mes problèmes de carte depuis depuis un moment.

J’essaie de les concentrer pour qu’il débloque ma carte et impossible de les avoir, soi-disant qu’il mon envoyer un courrier en boite à lettres pour la carte mais rien et tjr rien !!!

Je vous déconseille finalement si vous vivez en Europe, ils son incompétent pour régler les problèmes de leurs clients.",1 étoile,il y a un mois
BANK OF AFRICA,Casablanca,Bank of Africa Siège Social,"140 Bd Hassan II, Casablanca 20320","Je suis client à l'agence bmce avenue dakhla al ahbass marrakech a côté de café palace à Marrakech depuis plus de 17 ans . Récemment, lors du rachat de mes crédits, j'ai constaté une abondance de paperasse et de procédures, ainsi qu'une …",1 étoile,il y a 8 mois
BANK OF AFRICA,Casablanca,Siège C - BANK OF AFRICA,"H9MG+WHX, Casablanca 20250","quand on vous appelle, et quand nous dit de taper 1 pour parler arabe, mais que le réceptionniste nous répond en français? penser à changer les leçons que vous donner à ceux qui travaillent dans les centre d'appel, quand on tape 1 on doit entendre ""salam"" et pas bonjour parce que je ne tape pas 2, j'ai appelé pour activer une carte a mon père qui parle pas français et qui m'a demandé de parler en premier avant de lui passer l'appel, et celui qui m'a répondu quand je lui ai dit je te passe mon père, il m'a dit non on a un problème technique, pourquoi mentir? il aurait pu me dire que ça doit mon père qui parle en premier mais inventer un truc aussi débile, vous embauchez des gens incompétants",1 étoile,il y a 4 ans
BANK OF AFRICA,Casablanca,Siège C - BANK OF AFRICA,"H9MG+WHX, Casablanca 20250","Une banque qui s'investit dans le social, nous sommes une association qui grâce à BMCE peut faire des actions humanitaires envers les populations démunies quelles soient Marocaines ou Etrangères et surtout Sub-sahariennes vivants au Maroc. …",5 étoiles,il y a 8 ans
BANK OF AFRICA,Casablanca,Siège C - BANK OF AFRICA,"H9MG+WHX, Casablanca 20250",suite à la dernièr réaction incompréhensible avec moi comme client dans votre agence depuis 15 ans j'enregistre mon mécontentement envers votre agence bmce meknes route agourai vraiment un comportement non professionnel qui va vous faire perdre beaucoup plus de clients et je suis l'un des ces clients qui vas changer l'agence le plus vitte possible,1 étoile,il y a 4 ans
BANK OF AFRICA,Casablanca,Bank of Africa,"H983+CCG, Casablanca 20250",Pour être juste avec le personnel que je salue au passage,5 étoiles,il y a 5 mois
BANK OF AFRICA,Casablanca,Bank of Africa,"H983+CCG, Casablanca 20250",Trop d attente tjrs dans cette agence.,1 étoile,il y a un an
BANK OF AFRICA,Casablanca,Bank of Africa,"H983+CCG, Casablanca 20250",A fuir ...aucune écoute ...,1 étoile,il y a 2 ans
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"254, hay salama 3 20700, Av. Mohamed Bouziane, Casablanca","C'est déconseillé de faire une opération sur cette agence , j'habite au Berlin et je voulais faire un versement bancaire sur le compte de mon père pour effectuer le prelevement CNSS ,
Resultat: operation erroné et les caissiers commence à disputer avec moi autant que cliente, ah oui je retournais pour regler mon problème le caissier m'a dis tu peux aller où tu veux je peux t'adresser au directeur régional .
Absence de professionalisme; ainsi ceux qui reflète l'image de la banque.
NB: le directeur d'agence est en congé et personne ne le remplace sur la base de parole de tous le personnel de l'agence le remplaçant est à lbaida ????",1 étoile,il y a 9 mois
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"254, hay salama 3 20700, Av. Mohamed Bouziane, Casablanca","Bonjour, j’habite Bruxelles, c’est la plus pire agence que j’ai jamais vue dans ma vie. J’ai un mois de vacance chaque jour chez eux le système est bloqué !!! Et ce n'est pas vrai dernièrement, j’ai constaté qu’il ment le caissier et j’ai procédé à la fermeture de mon compte.",1 étoile,il y a un an
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"254, hay salama 3 20700, Av. Mohamed Bouziane, Casablanca","Ce fait déjà deux jours que j'ai essayé d'encaisser un chèque et la réponse toujours le scanner ne pas fonctionner, et le pire que ça c'est le caissier avec lunette  qui est vraiment non professionel même la façon de parler étaient impolie .",1 étoile,il y a 9 mois
BANK OF AFRICA,Casablanca,Bank of Africa,"HCF2+C38, Rue Maamora, Casablanca 20250",Pas la bonne localisation,1 étoile,il y a un an
BANK OF AFRICA,Casablanca,Bank of Africa,"HCF2+C38, Rue Maamora, Casablanca 20250",bien,5 étoiles,il y a 7 ans
BANK OF AFRICA,Casablanca,Bank of Africa,"Av. Lalla Yacout, Casablanca 20250",endroit non sécurisé et GAB toujours Hors service.,1 étoile,il y a 6 ans
BANK OF AFRICA,Casablanca,Bank of Africa,"Av. Lalla Yacout, Casablanca 20250",Attention service très très lent,1 étoile,il y a un an
BANK OF AFRICA,Casablanca,Bank of Africa,"Av. Lalla Yacout, Casablanca 20250",Trois bons,5 étoiles,il y a 2 ans
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"GCRH+H6W, Bd Oued Ad Dahab, Casablanca","j'ai eu une excellente expérience avec Bank of Africa. Leur service à la clientèle est exceptionnel, avec un personnel amical, compétent et prêt à aider. J'ai ouvert un compte bancaire avec eux et le processus a été fluide et efficace. Les services bancaires en ligne sont conviviaux et faciles à utiliser, ce qui facilite la gestion de mes finances. De plus, leurs taux d'intérêt sont compétitifs et ils offrent une gamme complète de services, tels que les prêts et les services d'investissement. Je me sens en confiance en tant que client de Bank of Africa et je recommande leur banque à tous ceux qui recherchent une institution bancaire fiable et professionnelle.",4 étoiles,il y a un an
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"GCRH+H6W, Bd Oued Ad Dahab, Casablanca",Banque d'Afrique,3 étoiles,il y a 4 ans
BANK OF AFRICA,Casablanca,BANK OF AFRICA,"GCRH+H6W, Bd Oued Ad Dahab, Casablanca",Pas de texte,5 étoiles,il y a 5 ans
BMCI,Casablanca,BMCI,"Angle boulevard Emile Zola, Rue de Provins, Casablanca 20000","La pire des agences bancaires que j'ai vu de toutes ma vie, service nul, tu connais l'agent de sécurité tu viens et il te fait passer avant tout le monde, employés incompétents et pour en finir un système en panne régulièrement.
.أسوء وكالة بنكية",1 étoile,il y a 2 ans
BMCI,Casablanca,BMCI,"Angle boulevard Emile Zola, Rue de Provins, Casablanca 20000",Comment se fait-il qu'il soit ouvert le samedi à 8h et ce n'est qu'un mensonge,1 étoile,il y a un an
BMCI,Casablanca,BMCI,"Angle boulevard Emile Zola, Rue de Provins, Casablanca 20000",Personne ne répond au téléphone 😡 …,1 étoile,il y a 3 ans
BMCI,Casablanca,BMCI (Siège Social),"Rue du 16 Novembre, Casablanca 20250","Le service est totalement à côté de la plaque. J’ai dû attendre trois semaines pour obtenir une validation de mon compte bancaire, et ensuite, j’ai passé quatre mois dans l’attente du déblocage de mon crédit. Le personnel des agences BMCI trouve toujours des excuses pour ne pas avancer, et il est pratiquement impossible de joindre le siège. Cette situation est vraiment honteuse.",1 étoile,il y a 4 mois
BMCI,Casablanca,BMCI (Siège Social),"Rue du 16 Novembre, Casablanca 20250","Je suis vraiment triste avec cette banque  , auqu'un respect pour le client  pas de réponses au téléphone, je ne ne connais même pas mon conseiller pour traiter mes demandes, nous les marocain d'étranger, on doit être bien accueilli,  et …",1 étoile,il y a un mois
BMCI,Casablanca,BMCI (Siège Social),"Rue du 16 Novembre, Casablanca 20250","Ce niveau de service est vraiment honteux...
Les demandes de virements sont toujours traitées en retard, parfois en doublon, parfois avec des grosses erreurs (rajouter un 0 au montant, ce qui fait tomber le compte en découvert... oui oui c'est vraiment arrivé)
Et je parle d'un compte entreprise, donc j'ose même pas imaginer le niveau de service pour les particuliers.
Aucun moyen de faire sérieusement remonter ses plaintes à la hiérarchie donc aucune voie d'amélioration possible.
Des frais opaques, qui tombent aussi parfois en doublon, et quasi impossible d'obtenir des explications ou corrections

Aucune considération pour les clients, les conseillers ont des portefeuilles énormes et ne peuvent pas s'occuper correctement de leurs clients",1 étoile,il y a 7 mois
BMCI,Casablanca,Agence BMCI,"G8FQ+6M7, Unnamed Road, Casablanca",Service impeccable,5 étoiles,il y a un an
BMCI,Casablanca,Agence BMCI,"G8FQ+6M7, Unnamed Road, Casablanca",Injoignable par téléphone,2 étoiles,il y a un an
BMCI,Casablanca,Agence BMCI,"G8FQ+6M7, Unnamed Road, Casablanca",Service normal,3 étoiles,il y a 8 ans
BMCI,Casablanca,BMCI Bank,"HFQ3+5J4, Casablanca 20250",Pas de texte,2 étoiles,il y a 5 ans
BMCI,Casablanca,BMCI,"48 Rue de l'Atlas, Casablanca 20000","Ravi d’avoir croisé le chemin d’une merveilleuse conseillère qui m’a réglé tous mes problèmes avec cette agence en un claquement de doigts.
Du coup je reste dans cette agence tant qu’elle y est. Merci Rania L.",5 étoiles,il y a 8 mois
BMCI,Casablanca,BMCI,"48 Rue de l'Atlas, Casablanca 20000","Une agence bancaire à éviter. Des téléphones qui ne décrochent jamais. J'ai du militer une semaine pour avoir la moitié des documents que j'ai demandé.
Seul le directeur de l'agence peut vous aider sinon tous les conseillers vous demanderont de revenir le lendemain.

Je change de banque c'est sûr!",1 étoile,il y a 3 ans
BMCI,Casablanca,BMCI,"48 Rue de l'Atlas, Casablanca 20000","Ils ne répondent ni au téléphone ni aux emails. Les conseillers sont régulièrement absents, et ne font pas le suivi des diverses demandes. Le chef d'agence quant à lui ne répond jamais, en tout cas pas à moi. Agence à fuir !",1 étoile,il y a 2 ans
BMCI,Casablanca,BMCI Agence Californie,"route de la Mecque ang. bd. Panoramique 20150, Rue 4, Casablanca","J'ai demandé ma carte de mon compte épargne plusieurs fois ,malheureusement chaque fois elle n'est pas disponible. En fin de compte j'ai renoncé à la demandé.",1 étoile,il y a 5 mois
BMCI,Casablanca,BMCI Agence Californie,"route de la Mecque ang. bd. Panoramique 20150, Rue 4, Casablanca",Kntassal toujours makijawboch brit nhal hssab 1moi Wana kntssna,1 étoile,il y a un mois
